Men_name,Men_height,Women_name,Women_height
Anthony Attenborough,70.0,Aurelia Barbagallo,
James Curran,69.0,Nicole Conroy,
Charles Cusumano,64.0,Jacqueline DeFranco,
David Fayngersh,70.0,Alexis Doyle,
Michael Graham,70.0,Katherine Ebrahim,
Eslam Hussein,67.0,Caitlyn Halligan,
Maxim Kleyer,70.0,Jessica  Johnson,
William Kwan,68.0,Emma Moore,
Julian Lopez,68.0,Morgan Novello,
Dylan Martinson,73.0,Jordan Swanson,
Hassan Matar,70.0,Katarina Tsirlin,
David Poggioli,73.0,Rupakshi Aggarwal,
Elliot Radov,73.0,Asha Besaw,61.0
Josiah Rivera,68.0,Rory Chea,64.0
Sam Rozenfeld,67.0,Claudia Cimino,
Nicholas Tartaglione,72.0,Laura Cruz Rosario,63.0
Ahmed Algendy,73.0,Natalia Cuttler,66.0
Aanas Aybakar,72.0,Jillian Etnel,63.0
George Molina,72.0,Kristen Flores,61.0
Wood-by Paulemont,69.0,Alexis Hall,68.0
Richard Reyes,66.0,Bianca Hiltz,69.0
Jeremy Sapeg,70.0,Fatima Morrobel,62.0
Alex Winter,72.0,Melanie Rodriguez,59.0
Ethan Abramov,73.0,Nakia Usher,58.0
Adam Byrne,73.0,Julia Wyman,58.0
Dylan Cellamare,67.0,Scarlet Astudillo,64.0
Floyd Diaz,70.0,Joscelyn  Galindo,63.0
Vicent Dominguez Romero,70.0,Dea Gazheli,63.0
Youssef  Elkhouly,75.0,Amanda Lee,61.0
Ramiel Fayngersh,71.0,Katherine Lee,62.0
Eric Goldshteyn,68.0,Jillian Quinn,65.0
Michael Guzman,70.0,Aanya Shukul,69.0
Christos Hamakiotes,69.0,Nicole  Tarasiuk,67.0
Duncan Huie,69.0,Joyce  Wong,64.0
Samuel Liao,65.0,Amy Zeng,62.0
Jordan Lin,69.0,Jennifer Alvarado,63.0
Eric Mayzlin,65.0,Christine  Bailey,62.0
Sami Rahman,70.0,Elizabeth Bailey,64.0
Maxim Reznik,71.0,Ayatallah Elkotby,72.0
Luca Shapiro,69.0,Hebatallah Elkotby,68.0
Gregory Terentyev,67.0,Sydney Gdanski,68.0
Valentyn Titarenko,71.0,Hailey Johnston,64.0
Leonardo Valdivia,68.0,Yelyzaveta Kurchak,65.0
Daniel Vasilkoff,71.0,Anastasia Kutuzov,65.0
Lucas Vasquez,72.0,Magdalena Mackiewicz,
Stuart Xu,65.0,Sameeha Yara Malik Shaik,65.0
Daniel Yadgarov,72.0,Diana Plasencia,65.0
Aziz Abdusamiev,75.0,Maria Scutero,63.0
Ryan Badre-Hume,74.0,Cierra Stenbar,62.0
Max Bratkovsky,69.0,Evi Blennert,
Aaron Brijbukhan,73.0,Kayla Bulseco,
Zurab Chkhartishvili,73.0,Kornelia Buszka,71.0
Carlos Garcia-Nunez,,Kathryn Chaves,
Alvaro Gonzalez,69.0,Selena Corona,
Michael Kravets,,Laney Fenton,66.0
Nicholai Krylyuk,,Morgen Frausto,69.0
James Lee,68.0,Megan Hollaar,69.0
Ian Lichaniu,,Ellie Lopez,67.0
Allen Mardakhayev,,Adi Luker,70.0
Joshua Natanzon,72.0,Maddie Lynch,
Jamshedzod Saidosimkhoni,,Stephanie Marks,70.0
Mujibar Shaad,,Adison Marshall,69.0
Simeon Shkoruta,67.0,Beata Maruszczyk,63.0
Erik Umkeev,72.0,Joselle Mensah,69.0
Ryan Boeding,74.0,Karissa Metzger,67.0
Noah Boyd,68.0,Marlene Pape,68.0
Jaxon Bradburn,,Maja Piotrowicz,73.0
Johan Cue Carrillo,73.0,Lucy Price,
Trevor Danner,73.0,Ashley Richard,64.0
Ondrej Dusa,,Nina Tasic,67.0
Mattia Giurgevich,76.0,Bayley Thompson,65.0
Lance Godard,,Linsey Watson,68.0
Eric Hansson,72.0,Calahan Williams,
Tait Harvey,73.0,Saylor Wilson,66.0
Nicholas Heye,71.0,Lyssa Wood,69.0
Elliott Irwin,74.0,Aurora Abbruscato,66.0
Piotr Kowalczyk,,Bianka Bukovics,71.0
Bennet Loving,,Sophia Burwitz,66.0
Matheo Mateos-Mongelos,73.0,Terrah DeLorimiere,63.0
David Molina-Fregenal,70.0,Luiza Dias,68.0
Jake Noble,70.0,McKenzie Fazio,74.0
Jose Ochoa,69.0,Chiara Fuerst,67.0
Gavin Schulte,73.0,Olivia Fuller,68.0
Adam Szczerba,76.0,Atzi Gomez,63.0
Polat Tasbasi,,Sarah Gormley,66.0
Max Wetteland,,Presley Heitzmann,71.0
Nick Williams,,Alexis Kachkin,69.0
Patryk Winiatowski,72.0,Natalia Kralova,69.0
Luke Asbury,72.0,Helena  Kurtz,64.0
Nojus Bertulis,72.0,Tumi Macdonell,68.0
Caden Brooks,72.0,Keianna Moss,68.0
Kirk Brotherton,73.0,Rylee Sitton,67.0
Owen Brubaker,74.0,Caitlyn Sligh,68.0
Samuel Davey,71.0,Karley Sonnenberg,70.0
Christian Davidson,71.0,Olivia Terry,65.0
Mason Enthoven,67.0,Logan Wilson,65.0
Miles Fleischer,63.0,Jocelyn Zgola,70.0
Leo Gandaria-Hernandez,72.0,Fifi  Amanuel,64.0
Vova Gavrysh,74.0,Julia Caramagna,62.0
Kadence Griffin,70.0,Isabella Hanson,70.0
Colton Grimes,78.0,Mairin Huston,63.0
Abram Hagedorn,72.0,Maddy Joe,62.0
Nick Khatkovyy,68.0,Grace Korey,70.0
Wyatt Kurtz,65.0,Camila Mercado,61.0
Jackson Lustig,73.0,Valeria Pages,61.0
Xander McWhorter,71.0,Alazne Sudupe,65.0
Spencer Meyers,73.0,Magdalen Swat,62.0
Archie  Minto,72.0,Sovy Taylor,65.0
Finn Moseley,73.0,Rachel Vazquez,65.0
Dante Nicola Rho,74.0,Cami Yovich,62.0
Joey Ovanic,72.0,Krisztina Balogh,66.0
Nathan Pollard,74.0,Emma Bellars,65.0
Patryk Rozenek,75.0,Abby Burns,65.0
Calum Shank,72.0,Alisa Dovbnya,68.0
Arthur Souza,69.0,Laney Fenton,66.0
Matthew Stooke,73.0,Grace Geyer,71.0
Michael Stooke,76.0,Taylor Jacobson,61.0
Noah Tague,73.0,Ashley Konz,68.0
Domantas  Tarnauskas,77.0,Emma Lindecke,65.0
Polat Tasbasi,,Abbie Masters,63.0
Tyson Upton,79.0,Teagan Powell,69.0
Alireza Yavari,70.0,Vivian Ravines,68.0
Caleb Baron,72.0,Faith Ring,63.0
Tyler Canteen,67.0,Sydney Stemley,66.0
