Men_name,Men_height,Women_name,Women_height
Shakib Delowar,71.0,Emmanuella Aurel,61.0
Brandon  Green,72.0,Bianca Zwerlein,65.0
Reng  Chen,69.0,Kavana Liburd,63.0
Anirudha Das,68.0,Ja-nya Breagreen,59.0
Gabriel Linus,75.0,Valerie Reynoso,63.0
Nana Boateng,67.0,Ishinay  Lennon,63.0
Carlos Garcia,72.0,Christvy Taha,65.0
Alex  Ma,70.0,Andrea Perez-Guzman,71.0
Amir Nabiyev,71.0,Devon Vazquez,66.0
Alex Abraham,73.0,Jaylynn Mateo,67.0
Mahmoud Tayeh,74.0,Jazmyn Pridgen,65.0
Kyrylo Vysotskyy,72.0,Zoe Gomez,63.0
Ray Rodriguez,67.0,Jasmine  Vega,63.0
Abdoylaye Kante,71.0,Samantha Panameno,67.0
Oscar Calderon,76.0,Simranjit Kaur,
Christopher King,71.0,Jasmine Dias,
Levi Rosario,64.0,Devina  Luckhoo,
Emmanuel Oladosu,70.0,Amariana Kidd,
Joseph Gianfranco Teves,65.0,Yoanne Boadji,
Alain Abreu Esteva,72.0,Jachimma Onwuamaegbu,
Daylan Peralta,72.0,Maritza Ortega Ramirez,
Neithan Pilay,70.0,Madison Plaza,
Christian Agudo,67.0,Alicia Gumbs,
Emanuel Cochran,76.0,Vanessa Ramirez,
Almir Pepic,74.0,Maria Ventura,
John Zerafa,67.0,Jeana Clemons,64.0
Jayden Diaz,71.0,Alyson Camejo,66.0
Kevin Seise,68.0,Mariali Sosa,70.0
Dion  Csikortos,65.0,Lucille Vargas,69.0
Stefan Simon,69.0,Natalie Mora,65.0
Farid Akhundov,70.0,Nicole Rodriguez,66.0
Omar Shawki,69.0,Marbely Tavarez,70.0
Yinuo Zhang,74.0,Michell Valdez,66.0
David Lema,68.0,Nyla Harris,66.0
Ali Zandani,66.0,Destiny Cartagena,65.0
Armand  Kaloshi,76.0,Brianna Rodriguez,65.0
Aaron Siu,72.0,Samantha  Colon,67.0
Tylar Pina,67.0,Maynee De Los Santos,61.0
Jason Lin,77.0,Emely Nunez,69.0
Jiaian  Flanders,70.0,Kiana Castillo,70.0
Joaquin Calderon,80.0,Breanna Kimbrough,68.0
Nate Whyte,70.0,Zouera Sofiani,71.0
Eugene  Villarruz,66.0,Nicole Santos,73.0
Micah Rossman,68.0,Aichata Kone,68.0
Sebastian Rodriguez,68.0,Nayely Rodriguez,65.0
Maxwell Law,69.0,Nahara Lopez,71.0
Omar Alaoui,72.0,Despina Boudouris,68.0
Nick Fuentes,74.0,Olivia Hyman,71.0
Jimmy  Thinlay,71.0,Sophie Schonauer,63.0
Matthew Vong,69.0,Nourhan Hadjeb,75.0
Evan Wandersee,68.0,Christina Franco,72.0
Logan Ramos,70.0,Madi Hathaway,66.0
Daniel Gonzalez Verdejo,68.0,Elena Leung,63.0
Alex Bridgelall,72.0,Alicia Cervera,70.0
Jaden Lamarre,75.0,Lindsay Osterhoudt,71.0
Steven Ajazi,76.0,Elizabeth Cerullo,73.0
Adam Bainey,77.0,Alexis Stoehrer,71.0
Attila Nerette,76.0,Jonaida Donowa,74.0
Argjend Osmanaj,74.0,Jayna Marie Lorenzo,75.0
Ari Osmanaj,75.0,Kendall Conrad,70.0
Raymond Yu,68.0,Sarah Munn,61.0
Kory Lingenfelter,74.0,Maya Angelova,72.0
Kairos Liang,71.0,Lauren Nelson,71.0
Peter Gavroff,76.0,Hunter MacFarland,71.0
Zachary Yao,72.0,Giulia Rodrigues,70.0
Ryan Oommen,69.0,Mia Saavedra,70.0
Noah Pak,72.0,Serenity Jones,69.0
David Tang,69.0,Lauren Posa,68.0
Valentin Rodriguez,69.0,Ronya  Shackelford,70.0
Aaron Clarke,72.0,Sofiia Snitsarevych,67.0
Haoxin Hu,77.0,Angela Mateos,73.0
Caeleb Lee-Wen,67.0,Sydney Harrington,75.0
Charlie Nguyen,71.0,Libby Nickels,71.0
Jacob Chen,69.0,Shadé Rich,70.0
Wyatt Kotuk,78.0,Isis Barrett,67.0
Crisostomo Ibarra,66.0,Alexis Bellarmino,69.0
Lenny Arbitman,67.0,Layne Witherspoon,67.0
Brandon Yeh,67.0,Patrycja Kabala,72.0
Nick Yao,69.0,Amelia Fitzpatrick,73.0
Charles Pampliega,72.0,Caity Clancy,69.0
Admir Cekic,73.0,Marley Middlebrooks,71.0
Charlie Alvarez,67.0,Julianna Dusch,63.0
Kyle Foley,74.0,Meredith Dixon,70.0
Felipe Delgado,72.0,Katherine  Rank,70.0
Lucas George,76.0,Jolie Trudeau,69.0
Jon Domingo,72.0,Bridey Potter,67.0
Wesley Stubbs,75.0,Kaitlyn Anderson,72.0
Jaidan LaSalle,69.0,Bella Schwantz,73.0
Annes Deljanin,79.0,Kaity Coan,66.0
Demetri Gournelos,73.0,Clare Sheedy,67.0
Jon Pflueger,77.0,Riley Murray,69.0
Ahmed Mohamed,71.0,Cassidy Bloom,74.0
Ahmed Algendy,73.0,Gracie Fleming,70.0
Joseph Lebron,67.0,Ella Hukel,69.0
Vincent Agokei,75.0,Ana Cate Loftus,71.0
Iteoluwakiisi Adegboye,72.0,Hailey Admire,69.0
Ian McIntosh,72.0,Kadence Livingston,72.0
Alexis Ramirez,68.0,Madison Fox,73.0
George Molina,72.0,Bailey Corrigan,72.0
Stanley  Sanchez,68.0,Anna Sommer,
Sebastian Gomez,76.0,Kira Bostick,69.0
"David Heyliger, Jr.",73.0,Sidney Hogan,
Ryan Tulsie,70.0,Camie Mitrovich,65.0
,,Avery Pearson,68.0
,,Tucker Patterson,62.0
,,Leilani Brown,
,,Chloe Duzenack,
,,Lexi Rogers,
,,Alli Bishop,71.0
,,Hayley Laskowski,
,,Brynn Westby,
,,Jordan Carter,
,,Reagan  Irons,
,,Olivia Taylor,
,,Avery Nicholson,
,,Natalie Acevedo,64.0
,,Salma Villa  Morales,71.0
,,Katelynn Olmstead,71.0
,,Maddie Mitchell,
,,Maddie Lacelle,
,,Gabby Gealey,
,,Payton Stanton,
,,Avery Smith,
,,Madelyn Wagner,
,,Maddy Fox,
,,Lola Coulter,
,,Layla Katschilo,
,,Myka Costanzo,
,,Katrina Cowder,
