,Country(or dependency),Population 2025,Yearly Change,Net Change,Density(P/km^2),Land Area(Km^2),Migrants(net),Fert. Rate,Median Age,Urban Pop%,World Share,country_common,cca2,region,subregion,capital,area_km2_api,population_api,lat,lng,languages_count
count,233,233,233,233,233,233,233,233,233,233,233,212,212,212,212,212,212.0,212.0,212.0,212.0,212.0
unique,233,233,177,231,164,224,233,159,173,192,165,212,212,5,24,212,,,,,
top,India," 1,463,865,525 ", 2.43% , 156 , 4 , 460 ," −495,753 ", 1.5 , 18.1 , , 0.13% ,India,IN,Africa,Caribbean,New Delhi,,,,,
freq,1,1,4,2,8,3,1,7,3,23,8,1,1,52,22,1,,,,,
mean,,,,,,,,,,,,,,,,,624549.7878301886,35129086.93867925,17.76415935495283,13.622856213867923,1.7075471698113207
std,,,,,,,,,,,,,,,,,1839289.2415576936,140100223.18976718,24.545028103154948,73.47095917418062,1.4569134492866522
min,,,,,,,,,,,,,,,,,2.02,1411.0,-51.75,-175.0,1.0
25%,,,,,,,,,,,,,,,,,10629.75,673227.25,3.0625,-53.5,1.0
50%,,,,,,,,,,,,,,,,,88851.5,6258694.0,16.5,19.15,1.0
75%,,,,,,,,,,,,,,,,,465990.5,21157208.5,39.0,47.625,2.0
max,,,,,,,,,,,,,,,,,17098242.0,1402112000.0,72.0,178.065,15.0
